Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4971856194704424
75% Corpus,2,0.01,0.31,0.49857942878638817
75% Corpus,2,0.01,0.61,0.48988526066864874
75% Corpus,2,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,2,0.01,symmetric,0.49469541401562367
75% Corpus,2,0.31,0.01,0.5006853100683938
75% Corpus,2,0.31,0.31,0.5001140226663646
75% Corpus,2,0.31,0.61,0.49377148106841756
75% Corpus,2,0.31,0.9099999999999999,0.460125039149094
75% Corpus,2,0.31,symmetric,0.49545798112910494
75% Corpus,2,0.61,0.01,0.5051364215126333
75% Corpus,2,0.61,0.31,0.5036204951542064
75% Corpus,2,0.61,0.61,0.506499136166828
75% Corpus,2,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,2,0.61,symmetric,0.5039354896253497
75% Corpus,2,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,2,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,2,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,2,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,2,symmetric,0.01,0.49786275458393064
75% Corpus,2,symmetric,0.31,0.49864310133951123
75% Corpus,2,symmetric,0.61,0.48988526066864885
75% Corpus,2,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,2,symmetric,symmetric,0.49857024336851197
75% Corpus,2,asymmetric,0.01,0.5164061355738535
75% Corpus,2,asymmetric,0.31,0.5186970079527373
75% Corpus,2,asymmetric,0.61,0.5050475145046268
75% Corpus,2,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,2,asymmetric,symmetric,0.5237662243951323
75% Corpus,3,0.01,0.01,0.4971856194704424
75% Corpus,3,0.01,0.31,0.49857942878638817
75% Corpus,3,0.01,0.61,0.48988526066864874
75% Corpus,3,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,3,0.01,symmetric,0.49469541401562367
75% Corpus,3,0.31,0.01,0.5006853100683938
75% Corpus,3,0.31,0.31,0.5001140226663646
75% Corpus,3,0.31,0.61,0.49377148106841756
75% Corpus,3,0.31,0.9099999999999999,0.460125039149094
75% Corpus,3,0.31,symmetric,0.49545798112910494
75% Corpus,3,0.61,0.01,0.5051364215126333
75% Corpus,3,0.61,0.31,0.5036204951542064
75% Corpus,3,0.61,0.61,0.506499136166828
75% Corpus,3,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,3,0.61,symmetric,0.5039354896253497
75% Corpus,3,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,3,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,3,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,3,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,3,symmetric,0.01,0.49786275458393064
